name,percent
Carrol,1.05e-4
Rocco,1.05e-4
Vern,1.05e-4
Alva,1.02e-4
Barbara,1.02e-4
Wilburn,1.02e-4
Winfred,1.02e-4
Evan,1.02e-4
Lavern,1.02e-4
Tracy,1.02e-4
Alberto,1.01e-4
Elliot,1.01e-4
Greg,1e-4
Patricia,1e-4
Barton,1e-4
Ernesto,1e-4
Felipe,1e-4
Gaylord,1e-4
Lupe,1e-4
Alphonso,9.9e-5
Bernie,9.9e-5
Denver,9.9e-5
Kennith,9.8e-5
Sandy,9.8e-5
Stan,9.8e-5
Stephan,9.8e-5
Wilford,9.8e-5
Eddy,9.8e-5
Garrett,9.8e-5
Gilberto,9.8e-5
Rafael,9.7e-5
Kirby,9.5e-5
Hershel,9.4e-5
Jason,9.4e-5
Linda,9.4e-5
Silas,9.4e-5
Christian,9.4e-5
Dalton,9.4e-5
Lenard,9.4e-5
Pablo,9.4e-5
Basil,9.1e-5
Joey,9.1e-5
Cleo,9e-5
Emery,9e-5
Gayle,9e-5
Milford,9e-5
Rolland,9e-5
Andre,8.9e-5
Carter,8.9e-5
Davis,8.9e-5
Wilton,8.9e-5
Adolph,8.9e-5
Anton,8.9e-5
Carey,8.9e-5
Carmine,8.9e-5
Thaddeus,8.9e-5
Everette,8.8e-5
Lyman,8.8e-5
Alden,8.7e-5
Forest,8.7e-5
Joesph,8.7e-5
Kendall,8.7e-5
Sonny,8.7e-5
Luke,8.7e-5
Julio,8.6e-5
Clay,8.5e-5
Major,8.5e-5
Morgan,8.5e-5
Kyle,8.5e-5
Pasquale,8.5e-5
Royal,8.5e-5
Carson,8.4e-5
Delmer,8.4e-5
Elmo,8.4e-5
Jeremiah,8.3e-5
Roman,8.3e-5
Arden,8.3e-5
Foster,8.3e-5
Morton,8.3e-5
Terrell,8.3e-5
Art,8.2e-5
Toby,8.2e-5
Vito,8.2e-5
Eli,8.1e-5
Ignacio,8.1e-5
Olen,8.1e-5
Angel,8e-5
Blair,8e-5
Gregg,7.9e-5
