name,percent
Alyce,2.06e-4
Bertie,2.06e-4
Florine,2.06e-4
Bonita,2.05e-4
Clare,2.05e-4
Antonia,2.03e-4
Elouise,2.03e-4
Gayle,2.03e-4
Lilly,2.02e-4
Helena,2.01e-4
Ilene,2.01e-4
Ima,2.01e-4
Aline,1.98e-4
Evangeline,1.96e-4
Gay,1.96e-4
Allie,1.95e-4
Monica,1.94e-4
Amanda,1.93e-4
Pansy,1.89e-4
Deborah,1.88e-4
Noreen,1.88e-4
Lessie,1.87e-4
Freddie,1.85e-4
Rae,1.85e-4
Marylou,1.81e-4
Merle,1.81e-4
Jenny,1.8e-4
Lorena,1.8e-4
Lorine,1.8e-4
Beryl,1.79e-4
Marietta,1.79e-4
Sonia,1.79e-4
Carla,1.78e-4
Winona,1.78e-4
Charles,1.77e-4
Emogene,1.77e-4
Hope,1.77e-4
Zelda,1.77e-4
Callie,1.75e-4
Iona,1.75e-4
Elena,1.74e-4
Lelia,1.74e-4
Maude,1.74e-4
Leota,1.72e-4
Madge,1.72e-4
Nita,1.72e-4
Roxie,1.72e-4
Gilda,1.7e-4
Delphine,1.69e-4
Rosalyn,1.69e-4
Mercedes,1.68e-4
Roslyn,1.68e-4
Ardis,1.66e-4
Dessie,1.66e-4
Lucia,1.66e-4
Dorris,1.65e-4
Francine,1.65e-4
Retha,1.65e-4
Allene,1.63e-4
Claudette,1.63e-4
Rowena,1.63e-4
Vernell,1.61e-4
Katharine,1.6e-4
Marilynn,1.6e-4
Carlene,1.58e-4
Berniece,1.57e-4
George,1.57e-4
Doretha,1.55e-4
Alene,1.54e-4
Iola,1.54e-4
Rosalee,1.53e-4
Camille,1.51e-4
Althea,1.49e-4
Dortha,1.49e-4
Leatrice,1.49e-4
Twila,1.49e-4
Oma,1.48e-4
Ardith,1.47e-4
Madelyn,1.47e-4
Ester,1.46e-4
Charlie,1.46e-4
Belva,1.45e-4
Reta,1.45e-4
Verla,1.45e-4
Birdie,1.44e-4
Claudine,1.44e-4
Leta,1.44e-4
Zella,1.44e-4
Jaunita,1.43e-4
Delma,1.42e-4
Gussie,1.4e-4
Ione,1.4e-4
Maudie,1.4e-4
Edythe,1.39e-4
Hester,1.39e-4
Marjory,1.39e-4
Velda,1.39e-4
Germaine,1.37e-4
Gerry,1.37e-4
Vada,1.37e-4
Millicent,1.37e-4
Terry,1.35e-4
Pearline,1.33e-4
Ava,1.32e-4
Dianne,1.32e-4
Leora,1.32e-4
Minerva,1.32e-4
Phoebe,1.32e-4
Margret,1.3e-4
Maurine,1.3e-4
Esperanza,1.29e-4
Ladonna,1.29e-4
Syble,1.29e-4
Billy,1.28e-4
Louisa,1.28e-4
Petra,1.28e-4
Roma,1.27e-4
Hellen,1.26e-4
Wilhelmina,1.26e-4
Isabell,1.25e-4
Lavon,1.25e-4
Richard,1.25e-4
Tillie,1.25e-4
Alva,1.24e-4
